,number of stars,date,profile_name,review
0,5.0 out of 5 stars,Reviewed in India on 22 June 2021,Moumita Paul,"This is such a premium looking laptop at this price point. Extremely light weight, classy looking body and keyboard, ssd boot, pre-installed windows 10, fingerprint recognition along with new features from the updated os. Everything is beautiful in both form and function. I am very satisfied with it, the packaging and even the small and compact power cable. Can't believe something so good can be available at this price point. The boot time is significantly fast than other laptops, comparable with macbook. I am techy and very nitpicky about gadget features and specifications at a given price. So this laptop is awesome in every sense!I just received it today. Will update this post if i see in any issues in the coming months."
1,4.0 out of 5 stars,Reviewed in India on 6 July 2021,Kesav,"Thin and light but delicate too. Bought it for 23K, so bit pricy. As Win10 has Windows Defender, no need for redundant Antivirus program. So uninstalled McAFee as it slows down entry level systems. Uninstalled Microsoft Office 365 trial copy and installed MS Office 2010. The system is working fine and smooth for daily works like Web browsing, MS Office etc.P.S  It seems this model with Celeron 4020 is putup for sale since May '21, and hence old reviews here are for earlier model GQ329 with Celeron 3350 processor.  The discontinued model was sold at around ₹ 18 to 20K it seems."
2,5.0 out of 5 stars,Reviewed in India on 22 May 2021,Anoopsingh,"I am using this laptop for a week and feeling so much thankful to my choice of purchase as it is working accordingly my expectations .This laptop was manufactured in Apr 21 and have great features like fingerprints 256GB ssd which gives flawless speed and having fast charging capacity although it is not full HD but still not much difference in picture quality comparatively.The most favored thing in this laptop is that is of only 21350 INR by HDFC credit EMI transaction .As I bought it for study purpose, it is one of the best laptop in this price range."
3,1.0 out of 5 stars,Reviewed in India on 16 August 2021,Madhu R.,"The MRP shown was around Rs. 45,000/-, as per Prime day offer the price will be around Rs. 34000/-. To avail this offer, I took the prime membership Rs. 129/-. After exchange, the price was Rs. Rs. 24,990/-. All seemed well till now. After receiving the laptop the price on the packet was Rs. 30,000/-So the whole Prime day sale, Prime Membership was all a big BS. The exchange is yet to take place.The product is good, but the Prime day sale, big discounts etc was making fool of the customers, nothing more."
4,5.0 out of 5 stars,Reviewed in India on 16 March 2022,Golden Bieber,"The media could not be loaded.
                



 I received this laptop 💻 two days ago.I like anti-glare display and screen quality is above average.Celeron N4020 processor is not for gaming bcz in this price range please don't expect laptops for gaming.You have given  256GB SSD M.2 NVME in just 26990 RS it's enough.This laptop is only for programming and office work.Highly recommended those  who are looking for best laptop under 30000.Build quality and look of this laptop is 4.99 out of 5.0 .One bad thing about this laptop 💻 is that does not have a keyboard backlight.And I'll edit this review as I use this laptop.I hope this honest review will help many people 🙏."
5,5.0 out of 5 stars,Reviewed in India on 7 July 2021,Ramdevhariarjun,"Nice laptop. Writing this review after 1 week full usage.Pros:SSD laptop, so high speed performance.Booting time less than 15 seconds.Anti glare screen. So no eye strain after long online classes, particularly good for kids.Multi tasking working fine.No lagging found while surfing, attending online classes, working with acrobat, word, excel, powerpoint...Battery backup excellent, almost 6 hours nonstop usage....Cons:Camera quality average, but ok for online classes and meeting.Have to buy external hdd, since it has only 195 gb available space...Due to processor, high end gaming not possible.Verdict.Bought at 21k. If your budget around 20 to 25k and looking for online classes or for normal office works or office works, then definitely go for it.."
6,1.0 out of 5 stars,Reviewed in India on 9 August 2021,Ajit verma,Don't buy this product...  I am using this laptop in one day is very poor poor condition Asus  laptop please don't.. and Amazon giving me a damaging product and is giving very very very damaging product so I returned it this product... please don't buy
7,4.0 out of 5 stars,Reviewed in India on 23 May 2021,Vishal ..,I Got this laptop in 23k and others are get this in 18 or 20k laptop this is not fare 😥😥😥😥😥😥😥😥😣😣😣but laptop is Good
8,5.0 out of 5 stars,Reviewed in India on 30 March 2022,Abhijit baidya,Read till the end.Reviewing after 12 days of usage.If your budget is around 27k and not purchasing for gaming then you should difinitely go for it. There are hardly any cons in this product.#Built quality is upto the mark.#Looks and feels premium like a 40k laptop#Fingerprint sensor is what makes it different.#Processing speed is fluent.#Camera is ok ok (enough).#Touchpad feels premium.#SSD makes it a bit more buttery.#Display quality is more than good in this budget.The only problem i faced is regarding MS office as OFFICE 365 is pre installed without the activation key as a result we cant access it or we have to purchase it. But fortunately i installed MS office 2021 from external source in minutes so not a big deal.So i would suggest everyone to go for it blindly and save some pennies without any disappointment cz i have been searching for laptop since 1 month and this fulfilled my all my requirements. Thank you
9,5.0 out of 5 stars,Reviewed in India on 28 May 2021,Ravinder Kumar,I was in doubt that is it will be support Tally & Busy Accounting Softwares.But after buy it all things are going good.Both Softwares are working without any issues.Nice Product 👍👍
